Brain,AL_left,AL_right,CX,MB_left,MB_right,PI,SEG
Stat92E_GFP_1week_moderate_double_m4,1.6701492853010858,0.9574685555236304,1.4311177045593186,1.0021137094823744,0.9576577143378072,1.4401315773078556,1.429130757049043
Stat92E_GFP_1week_moderate_single_f1,1.3548129858627516,1.289448578916958,1.586483693824827,1.5975340242404947,1.470839923337517,1.3434050930469523,1.3252044310113646
Stat92E_GFP_1week_moderate_single_f2,1.0905755337126135,1.0987606462959632,0.795638075677653,1.387095785734422,1.1567693576036686,1.4188336591809028,0.9523034243411582
Stat92E_GFP_1week_moderate_single_f3,0.6771063823962329,0.6965402019467966,0.8033975893159455,0.8047725842745507,0.7048972298646502,0.7550561785693827,0.9292789216885888
Stat92E_GFP_1week_moderate_single_f4,0.9791464016725928,1.0000819295689538,1.0021779838483276,0.7594869220355687,1.1934280832744528,1.000228281931345,1.000738968767534
Stat92E_GFP_1week_moderate_single_f5,0.4631713969077141,0.4631360042558612,0.6063247887881299,0.7791815611153319,0.4646047878829296,0.6898557833967445,0.7681705082564992
Stat92E_GFP_1week_moderate_single_m1,3.2197405952785103,3.403320869799442,4.156751458504497,4.751692032811404,3.227115747383432,4.117329109612033,
Stat92E_GFP_1week_moderate_single_m2,2.304753511355071,2.143653117825296,2.99270359164823,3.700885392320769,1.910812276797428,3.733409334307769,1.5515663662635983
Stat92E_GFP_1week_moderate_single_m3,2.127211575496662,2.6211282966437124,2.2944867291471978,2.277941758039919,2.614019390575303,2.10479744247467,2.541182332998492
Stat92E_GFP_1week_paraquat_48hours_m1,1.746485066075185,1.123718796653998,1.0050136310687596,0.8054875585721257,0.9997259278403836,0.9843588595050798,0.9771667609689798
Stat92E_GFP_1week_paraquat_48hours_m2,0.8227205789454703,0.9288062655531466,1.5512934600700423,1.5527778139395618,1.4411895794995604,1.5567872526403892,1.3668454699108925
Stat92E_GFP_1week_paraquat_48hours_m3,0.8904652198934413,1.5574972246439076,1.333469486240934,1.333559747186069,1.5539628830126908,1.3351666770093846,1.5563947780847345
Stat92E_GFP_1week_paraquat_48hours_m4,1.8062480227991609,1.315278904153144,1.7005075896668709,1.1462216165718406,1.3818318915926486,1.384664399192948,2.4220946637851632
