Brain,ROI,Green,Red,Green_Red_Ratio,Reporter,Driver,Marker,Condition,InjuryType
UasMitoTimer_RepoGal4_1week_moderate_single_f4,AL_left,0.4000183045864105,0.1667799055576324,2.3984802200777136,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f4,AL_right,0.5990020036697388,0.1667799055576324,3.5915717883815907,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f4,CX,0.5999542474746704,0.1667799055576324,3.597281371929727,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f4,MB_left,0.4000183045864105,0.1667799055576324,2.3984802200777136,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f4,MB_right,0.5991241335868835,0.1667799055576324,3.592304070347673,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f4,PI,0.4000183045864105,0.1667799055576324,2.3984802200777136,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f4,SEG,0.5987334847450256,0.1667799055576324,3.5899617687343475,uasmitotimer,unknown,unknown,moderate,single
Draper_Dee7_1week_moderate_double_f1,AL_left,0.8321928977966309,0.8549718260765076,0.9733571006843468,unknown,unknown,draper,moderate,double
Draper_Dee7_1week_moderate_double_f1,AL_right,0.9983968734741212,1.0,0.9983968734741212,unknown,unknown,draper,moderate,double
Draper_Dee7_1week_moderate_double_f1,CX,0.9967937469482422,0.9983513951301576,0.9984397796311868,unknown,unknown,draper,moderate,double
Draper_Dee7_1week_moderate_double_f1,MB_left,0.9980151653289796,0.8563456535339355,1.1654349633356664,unknown,unknown,draper,moderate,double
Draper_Dee7_1week_moderate_double_f1,MB_right,0.8332921862602234,0.9919008612632751,0.8400962422786393,unknown,unknown,draper,moderate,double
Draper_Dee7_1week_moderate_double_f1,PI,0.991628110408783,0.9973962306976318,0.9942168216488904,unknown,unknown,draper,moderate,double
Draper_Dee7_1week_moderate_double_f1,SEG,1.0,0.857283353805542,1.166475466438172,unknown,unknown,draper,moderate,double
Draper_Dee7_paraquat_48h_1week_f1,AL_left,0.0450494810938835,0.0314917676150798,1.4305161159741158,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f1,AL_right,0.0450197719037532,0.0314682200551033,1.4306424648397702,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f1,CX,0.0450633019208908,0.0375049337744712,1.2015299691467347,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f1,MB_left,0.0563210062682628,0.0353744737803936,1.5921369351783528,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f1,MB_right,0.050413142889738,0.038242507725954,1.31824887768864,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f1,PI,0.0394980162382125,0.0353485196828842,1.1173881280617688,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f1,SEG,0.0282178521156311,0.0196442082524299,1.436446394429798,unknown,unknown,draper,unknown,unknown
UasMitoTimer_RepoGal4_1week_severe_single_f2,AL_left,0.7040034532546997,0.5000839233398438,1.4077706168855937,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f2,AL_right,0.3519909977912903,0.5000839233398438,0.7038638543716722,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f2,CX,0.7040034532546997,0.5000839233398438,1.4077706168855937,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f2,MB_left,0.7039175033569336,0.5000839233398438,1.4075987459380292,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f2,MB_right,0.7040034532546997,0.5000839233398438,1.4077706168855937,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f2,PI,0.7040034532546997,0.5000839233398438,1.4077706168855937,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f2,SEG,0.3519909977912903,0.5000839233398438,0.7038638543716722,uasmitotimer,unknown,unknown,severe,single
Draper_Dee7_paraquat_48h_1week_f6,AL_left,0.9990081191062928,0.5712361335754395,1.7488531631452902,unknown,unknown,draper,unknown,unknown
